question_id,db_id,question,experiment_mode,predicted_JOIN,predicted_GROUP_BY,predicted_HAVING,guidance_applied,gold_sql,generated_sql,experiment_status,api_error,execution_status,execution_accuracy,exact_match,ground_truth_rows,generated_result_rows,total_time,llm_requests,input_tokens,output_tokens,spark_error
25,california_schools,"Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?",baseline,False,False,False,False,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","SELECT t1.School, t1.FundingType, AVG(t3.AvgScrMath) AS avg_math FROM satscores t3 JOIN schools t1 ON t3.cds = t1.CDSCode WHERE t1.City = 'Riverside' GROUP BY t1.School, t1.FundingType HAVING AVG(t3.AvgScrMath) > 400",COMPLETED,,VALID,0.0,0.0,6,8.0,103.5824117661,8,8537,1034,
327,toxicology,Which non-carcinogenic molecules consisted more than 5 atoms?,baseline,False,False,False,False,"SELECT T.molecule_id FROM ( SELECT T1.molecule_id, COUNT(T2.atom_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.label = '-' GROUP BY T1.molecule_id HAVING COUNT(T2.atom_id) > 5 ) t",,API_ERROR,AUTH_ERROR,VALID,,,186,,196.0812859535,15,13302,1596,
720,superhero,Please list the full names of all the superheroes with over 15 super powers.,baseline,False,False,True,False,SELECT DISTINCT T1.full_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id GROUP BY T1.full_name HAVING COUNT(T2.power_id) > 15,"SELECT t1.full_name FROM superhero AS t1 JOIN hero_power AS t2 ON t1.id = t2.hero_id GROUP BY t1.id, t1.full_name HAVING COUNT(t2.power_id) > 15",COMPLETED,,VALID,0.0,0.0,71,102.0,76.0938079357,6,4701,675,
1323,student_club,List all the names of events that had an attendance of over 20 students but were not fundraisers.,baseline,False,False,True,False,SELECT T1.event_name FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event GROUP BY T1.event_id HAVING COUNT(T2.link_to_event) > 20 EXCEPT SELECT T1.event_name FROM event AS T1  WHERE T1.type = 'Fundraiser',"SELECT e.event_name 
FROM event e 
JOIN attendance a ON e.event_id = a.link_to_event 
WHERE e.type != 'fundraiser' OR e.type IS NULL
GROUP BY e.event_id, e.event_name 
HAVING COUNT(a.link_to_member) > 20",COMPLETED,,VALID,1.0,0.0,8,8.0,76.4917724133,6,4139,367,
1451,student_club,"Among the members who incurred expenses in more than one event, who paid the most amount?",baseline,True,False,True,False,SELECT T2.member_id FROM expense AS T1 INNER JOIN member AS T2 ON T1.link_to_member = T2.member_id INNER JOIN budget AS T3 ON T1.link_to_budget = T3.budget_id INNER JOIN event AS T4 ON T3.link_to_event = T4.event_id GROUP BY T2.member_id HAVING COUNT(DISTINCT T4.event_id) > 1 ORDER BY SUM(T1.cost) DESC LIMIT 1,"SELECT first_name, last_name FROM member JOIN expense ON member_id = link_to_member GROUP BY member_id, first_name, last_name HAVING COUNT(DISTINCT link_to_budget) > 1 ORDER BY SUM(cost) DESC LIMIT 1",SQL_ERROR,,ERROR,0.0,0.0,1,,1887.4413206577,26,59657,1908,"[UNRESOLVED_COLUMN.WITH_SUGGESTION] A column or function parameter with name `cost` cannot be resolved. Did you mean one of the following? [`last_name`, `first_name`].; line 1 pos 181;
'GlobalLimit 1
+- 'LocalLimit 1
   +- 'Sort ['SUM('cost) DESC NULLS LAST], true
      +- Project [first_name#3065, last_name#3066]
         +- Filter (count(distinct link_to_budget#3044)#3143L > cast(1 as bigint))
            +- Aggregate [member_id#3064, first_name#3065, last_name#3066], [first_name#3065, last_name#3066, count(distinct link_to_budget#3044) AS count(distinct link_to_budget#3044)#3143L]
               +- Join Inner, (member_id#3064 = link_to_member#3043)
                  :- SubqueryAlias member
                  :  +- View (`member`, [member_id#3064,first_name#3065,last_name#3066,email#3067,position#3068,t_shirt_size#3069,phone#3070,zip#3071,link_to_major#3072])
                  :     +- Relation [member_id#3064,first_name#3065,last_name#3066,email#3067,position#3068,t_shirt_size#3069,phone#3070,zip#3071,link_to_major#3072] JDBCRelation(member) [numPartitions=1]
                  +- SubqueryAlias expense
                     +- View (`expense`, [expense_id#3038,expense_description#3039,expense_date#3040,cost#3041,approved#3042,link_to_member#3043,link_to_budget#3044])
                        +- Relation [expense_id#3038,expense_description#3039,expense_date#3040,cost#3041,approved#3042,link_to_member#3043,link_to_budget#3044] JDBCRelation(expense) [numPartitions=1]
"
59,california_schools,What is the website for the schools under the administrations of Mike Larson and Dante Alvarez?,baseline,False,False,False,False,SELECT Website FROM schools WHERE (AdmFName1 = 'Mike' AND AdmLName1 = 'Larson') OR (AdmFName1 = 'Dante' AND AdmLName1 = 'Alvarez'),SELECT Website FROM schools WHERE (AdmFName1 = 'Mike' AND AdmLName1 = 'Larson') OR (AdmFName2 = 'Mike' AND AdmLName2 = 'Larson') OR (AdmFName3 = 'Mike' AND AdmLName3 = 'Larson') OR (AdmFName1 = 'Dante' AND AdmLName1 = 'Alvarez') OR (AdmFName2 = 'Dante' AND AdmLName2 = 'Alvarez') OR (AdmFName3 = 'Dante' AND AdmLName3 = 'Alvarez'),COMPLETED,,VALID,1.0,0.0,2,2.0,78.2013061047,6,4789,497,
204,toxicology,"Of the first 100 molecules in number order, how many are carcinogenic?",baseline,False,False,False,False,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE molecule_id BETWEEN 'TR000' AND 'TR099' AND T.label = '+',"SELECT count(*) FROM (SELECT molecule_id, label FROM molecule ORDER BY cast(substring(molecule_id, 3) as int) LIMIT 100) t WHERE t.label = '+'",COMPLETED,,VALID,0.0,0.0,1,1.0,194.5323383808,15,12832,514,
1325,student_club,What is the most expensive item that was spent in support of club events?,baseline,False,False,False,False,SELECT expense_description FROM expense ORDER BY cost DESC LIMIT 1,SELECT T1.expense_description FROM expense AS T1 JOIN budget AS T2 ON T1.link_to_budget = T2.budget_id JOIN event AS T3 ON T2.link_to_event = T3.event_id ORDER BY T1.cost DESC LIMIT 1,COMPLETED,,VALID,1.0,0.0,1,1.0,77.3707945347,6,4154,288,
1341,student_club,"Give the location for ""Spring Budget Review"".",baseline,False,False,False,False,SELECT location FROM event WHERE event_name = 'Spring Budget Review',SELECT location FROM event WHERE event_name = 'Spring Budget Review',COMPLETED,,VALID,1.0,1.0,1,1.0,77.2686696053,6,3595,134,
1406,student_club,"Among the budgets for Food, which one has the highest budgeted amount?",baseline,False,False,False,False,SELECT budget_id FROM budget WHERE category = 'Food' AND amount = ( SELECT MAX(amount) FROM budget ),"SELECT category, amount FROM budget WHERE category = 'Food' ORDER BY amount DESC LIMIT 1",COMPLETED,,VALID,0.0,0.0,1,1.0,76.959189415,6,3654,148,
